,experience_level,employment_type,salary_in_usd,company_location_fact,employee_residence_fact,job_title_fact
0,2,1,79833.0,0,0,0
1,3,1,260000.0,0,0,4
2,3,1,109024.0,0,0,4
3,2,1,20000.0,0,0,4
4,3,1,150000.0,1,1,3
5,1,1,72000.0,1,1,2
6,3,1,190000.0,1,1,4
7,2,1,35735.0,0,0,0
8,2,1,135000.0,1,1,4
9,3,1,125000.0,0,0,4
10,1,1,51321.0,0,0,0
11,2,1,40481.0,0,0,0
12,1,1,39916.0,0,0,0
13,2,1,87000.0,1,1,4
14,2,1,85000.0,1,1,2
15,2,1,8000.0,0,0,2
16,1,1,41689.0,0,0,1
17,3,1,114047.0,0,0,4
18,1,1,5707.0,0,0,4
19,2,1,56000.0,1,0,4
20,2,1,43331.0,0,0,3
21,2,1,6072.0,0,0,4
22,3,1,47899.0,0,0,1
23,2,1,98000.0,1,1,4
24,2,1,115000.0,0,0,4
25,4,1,325000.0,1,1,4
26,1,1,42000.0,0,0,4
27,3,1,33511.0,0,0,1
28,1,3,100000.0,1,1,4
29,3,1,117104.0,0,0,4
30,2,1,59303.0,0,0,4
31,1,1,70000.0,1,1,4
32,3,1,68428.0,1,0,0
33,2,1,450000.0,1,1,4
34,2,1,46759.0,0,0,2
35,2,1,74130.0,0,0,1
36,2,1,103000.0,1,1,4
37,1,1,250000.0,1,1,3
38,1,1,10000.0,0,0,2
39,1,1,138000.0,1,1,3
40,2,1,45760.0,1,0,0
41,4,1,79833.0,0,0,4
42,2,1,50180.0,0,0,4
43,2,1,106000.0,1,1,1
44,2,1,112872.0,0,0,1
45,1,2,15966.0,0,0,4
46,2,1,76958.0,0,0,0
47,3,1,188000.0,1,1,1
48,2,1,105000.0,1,1,0
49,2,1,70139.0,0,0,1
50,1,1,6072.0,0,0,2
51,1,1,91000.0,1,1,2
52,1,1,45896.0,0,0,4
53,1,1,54742.0,0,0,1
54,3,4,60000.0,1,0,4
55,3,1,148261.0,0,0,4
56,2,1,38776.0,0,0,0
57,2,1,118000.0,1,1,0
58,3,1,120000.0,1,1,0
59,2,1,138350.0,1,1,0
60,2,1,110000.0,1,1,1
61,2,1,130800.0,1,0,1
62,1,2,21669.0,0,0,0
63,3,1,412000.0,1,1,0
64,3,1,45618.0,0,0,3
65,1,1,62726.0,0,0,0
66,1,1,49268.0,0,0,0
67,3,1,190200.0,1,1,4
68,1,1,105000.0,1,1,0
69,3,1,91237.0,0,0,0
70,2,1,62726.0,0,0,0
71,2,1,42197.0,0,0,0
72,1,1,82528.0,0,0,4
73,4,1,150000.0,1,0,4
74,4,1,235000.0,1,1,4
75,3,1,53192.0,0,0,0
76,2,1,100000.0,1,1,4
77,2,2,5409.0,0,0,4
78,2,3,270000.0,1,1,4
79,1,1,80000.0,1,1,2
80,3,1,79197.0,0,0,4
81,2,1,140000.0,1,1,1
82,2,1,54238.0,0,0,4
83,2,1,47282.0,0,0,3
84,4,1,153667.0,0,0,4
85,2,1,28476.0,0,0,1
86,1,1,59102.0,0,0,2
87,2,1,110000.0,1,1,4
88,3,1,170000.0,1,1,4
89,3,1,80000.0,1,0,2
90,3,1,88654.0,0,0,4
91,1,1,76833.0,0,0,4
92,2,1,19609.0,0,0,4
93,3,1,276000.0,1,1,4
94,1,1,29751.0,0,0,0
95,2,1,89294.0,0,0,4
96,1,2,12000.0,1,0,4
97,2,1,450000.0,1,1,4
98,1,1,70000.0,1,1,4
99,2,1,95746.0,1,0,4
100,2,1,75000.0,1,1,2
101,3,1,150000.0,1,1,1
102,2,1,36259.0,1,0,4
103,2,1,62000.0,1,1,2
104,2,1,73000.0,1,1,0
105,2,1,51519.0,0,0,2
106,2,1,187442.0,0,0,4
107,3,1,115000.0,1,1,1
108,3,1,150000.0,1,1,1
109,1,1,30428.0,0,0,1
110,3,1,94564.0,0,0,3
111,3,1,113476.0,0,0,4
112,3,1,103160.0,0,0,4
113,1,2,12000.0,1,0,4
114,2,1,45391.0,0,0,1
115,1,1,225000.0,1,1,4
116,2,1,50000.0,0,0,0
117,2,1,40189.0,0,0,4
118,1,1,90000.0,1,1,2
119,2,1,200000.0,1,1,1
120,2,1,60000.0,0,0,4
121,3,1,200000.0,1,1,4
122,1,1,50000.0,1,1,2
123,1,1,110037.0,0,0,4
124,1,2,10354.0,0,0,2
125,2,1,151000.0,1,1,4
126,3,1,120000.0,1,1,4
127,2,1,9466.0,0,0,0
128,1,1,20000.0,0,0,3
129,3,1,40570.0,0,0,4
130,1,1,100000.0,0,0,4
131,1,1,49646.0,0,0,0
132,2,1,38400.0,1,0,4
133,3,1,24000.0,0,0,4
134,1,1,100000.0,1,1,0
135,2,1,90000.0,1,1,2
136,2,1,63711.0,0,0,4
137,2,1,77364.0,0,0,4
138,3,1,220000.0,1,1,4
139,1,1,80000.0,1,1,0
140,2,1,135000.0,1,1,2
141,3,1,240000.0,1,1,4
142,3,1,150000.0,1,1,4
143,2,1,82500.0,1,1,0
144,2,1,100000.0,1,1,1
145,3,1,82744.0,0,0,3
146,2,1,62649.0,0,0,4
147,2,1,90000.0,1,1,1
148,3,1,153000.0,1,1,4
149,3,1,160000.0,1,0,4
150,3,1,168000.0,0,0,4
151,2,1,150000.0,1,1,0
152,2,1,75774.0,0,0,0
153,1,1,13400.0,0,0,0
154,3,1,144000.0,1,1,4
155,3,1,127221.0,0,0,4
156,2,1,119059.0,0,0,0
157,2,1,423000.0,1,1,4
158,3,1,120000.0,1,1,4
159,1,1,125000.0,1,1,3
160,4,1,230000.0,0,0,4
161,4,1,85000.0,0,0,4
162,2,1,28369.0,0,0,1
163,1,1,63831.0,0,0,4
164,4,1,130026.0,0,0,4
165,3,1,165000.0,1,1,4
166,1,1,80000.0,1,1,1
167,4,1,250000.0,1,1,4
168,1,1,55000.0,1,1,4
169,2,1,150000.0,1,1,4
170,2,1,170000.0,1,1,4
171,2,1,82528.0,0,0,1
172,1,1,60000.0,1,1,2
173,3,1,235000.0,1,1,4
174,3,1,60757.0,0,0,4
175,3,1,174000.0,1,1,4
176,2,1,2859.0,0,0,0
177,2,1,40038.0,0,0,0
178,1,1,81000.0,1,1,3
179,2,1,5679.0,1,0,0
180,2,1,22611.0,0,0,4
181,2,1,90734.0,0,0,0
182,2,1,26005.0,1,0,1
183,3,1,61896.0,0,0,4
184,2,4,12000.0,0,0,4
185,2,1,4000.0,0,0,1
186,3,1,50000.0,0,0,4
187,4,1,69741.0,0,0,4
188,3,1,76833.0,0,0,1
189,2,1,74000.0,0,0,3
190,3,1,152000.0,0,1,4
191,1,1,21844.0,0,0,3
192,2,1,18000.0,0,0,4
193,3,1,174000.0,1,1,4
194,3,1,96113.0,0,0,4
195,2,1,147000.0,1,1,0
196,1,1,9272.0,0,0,4
197,3,1,24342.0,0,0,3
198,3,1,54094.0,1,0,4
199,1,1,90000.0,1,1,4
200,2,1,61467.0,0,0,0
201,3,1,195000.0,1,1,4
202,2,1,37825.0,0,0,0
203,3,1,50000.0,1,0,4
204,2,1,160000.0,1,1,0
205,2,1,12901.0,0,0,0
206,3,1,200000.0,1,1,3
207,3,1,165000.0,1,1,1
208,2,4,20000.0,1,0,1
209,3,1,120000.0,1,1,4
210,2,1,24823.0,0,0,3
211,2,1,56738.0,0,0,4
212,2,1,66022.0,0,0,1
213,1,1,5882.0,0,0,4
214,1,1,24823.0,0,0,3
215,3,1,185000.0,1,1,4
216,1,2,28609.0,0,0,4
217,2,1,90734.0,0,0,0
218,2,1,88654.0,0,0,3
219,3,1,140000.0,1,1,4
220,2,1,46597.0,0,0,3
221,2,1,116914.0,0,0,0
222,2,1,33808.0,0,0,0
223,2,1,56256.0,0,0,0
224,3,1,225000.0,0,1,4
225,4,3,416000.0,1,1,4
226,3,1,87738.0,0,0,0
227,2,1,88654.0,0,0,0
228,3,1,135000.0,1,1,0
229,3,1,71786.0,0,0,2
230,1,1,16228.0,0,0,4
231,3,1,256000.0,1,1,4
232,3,1,200000.0,1,1,4
233,3,1,200000.0,1,1,2
234,2,1,180000.0,1,1,4
235,2,1,110000.0,1,1,4
236,2,1,63810.0,0,0,4
237,2,1,46809.0,0,0,0
238,1,1,4000.0,0,0,0
239,1,1,21637.0,0,0,1
240,3,1,103691.0,0,0,0
241,2,1,80000.0,1,1,2
242,2,1,110000.0,1,1,1
243,3,1,165000.0,1,1,0
244,1,1,18053.0,0,0,4
245,2,1,72212.0,0,0,1
246,1,1,36643.0,0,0,0
247,2,1,12103.0,0,0,1
248,3,1,96282.0,0,0,1
249,3,1,170000.0,1,1,4
250,2,1,115000.0,1,1,0
251,1,1,90000.0,1,1,0
252,4,1,600000.0,1,1,4
253,1,1,28399.0,0,0,0
254,2,1,93000.0,1,1,2
255,3,1,99703.0,0,0,4
256,2,1,200000.0,1,1,1
257,3,1,173762.0,0,0,4
